,China,US,China Fit,US Fit
1981,0.0,0.416,,
1982,0.0,0.5448275862068965,,
1983,0.0,0.4759036144578313,,
1984,0.0,0.47701149425287354,,
1985,0.0,0.49230769230769234,,
1986,0.0038022813688212928,0.44866920152091255,,
1987,0.003676470588235294,0.4852941176470588,,
1988,0.007125890736342043,0.4251781472684085,,
1989,0.0,0.5041666666666667,,
1990,0.0017730496453900709,0.48404255319148937,,
1991,0.0015174506828528073,0.4582701062215478,,
1992,0.0025974025974025974,0.44415584415584414,,
1993,0.007281553398058253,0.39684466019417475,,
1994,0.009771986970684038,0.43322475570032576,,
1995,0.005376344086021506,0.4290322580645161,,
1996,0.011417697431018078,0.44814462416745954,,
1997,0.015209125475285171,0.3906844106463878,,
1998,0.01688411358403684,0.37989255564082886,,
1999,0.016129032258064516,0.3970814132104455,,
2000,0.017543859649122806,0.40215924426450744,,
2001,0.020138451856513532,0.3857772183763373,,
2002,0.028481012658227847,0.3802742616033755,,
2003,0.041686182669789226,0.4023419203747073,,
2004,0.05551272166538165,0.3781804163454125,,
2005,0.0598404255319149,0.38563829787234044,,
2006,0.06541019955654102,0.35199556541019955,,
2007,0.08166409861325115,0.3559322033898305,,
2008,0.09348837209302326,0.34767441860465115,,
2009,0.10350382601691502,0.3525976641159887,,
2010,0.11420507996237064,0.34807149576669805,,
2011,0.129688972667295,0.3500471253534401,,
2012,0.14049586776859505,0.33461891643709823,,
2013,0.16738583243437613,0.33782811938151747,,
2014,0.21254162042175362,0.3290788013318535,0.21903713943940772,0.33382066581986614
2015,0.24879137225734474,0.3378579397545556,0.2523150505439702,0.32783435144887996
2016,0.2941914664754392,0.3060236643958408,0.28559296164854686,0.3218480370778938
2017,0.3122448979591837,0.3174397031539889,0.31887087275312354,0.3158617227069076
2018,0.35369993211133743,0.3140982122652184,0.352148783857686,0.3098754083359214
2019,,,0.3854266949622627,0.30388909396493524
2020,,,0.41870460606683935,0.29790277959394906
2021,,,0.4519825171714018,0.2919164652229629
2022,,,0.4852604282759785,0.28593015085197493
2023,,,0.5185383393805552,0.27994383648098875
2024,,,0.5518162504851176,0.27395752211000257
2025,,,0.5850941615896943,0.2679712077390164
