,China,US,China Fit,US Fit
1981,0.0,0.5384615384615384,,
1982,0.0,0.8666666666666667,,
1983,0.0,0.7058823529411765,,
1984,0.0,0.5,,
1985,0.0,0.6,,
1986,0.0,0.4444444444444444,,
1987,0.0,0.6071428571428571,,
1988,0.0,0.4418604651162791,,
1989,0.0,0.6041666666666666,,
1990,0.0,0.43859649122807015,,
1991,0.0,0.5454545454545454,,
1992,0.012987012987012988,0.4805194805194805,,
1993,0.0,0.40963855421686746,,
1994,0.021505376344086023,0.41935483870967744,,
1995,0.0,0.4787234042553192,,
1996,0.02830188679245283,0.5283018867924528,,
1997,0.009433962264150943,0.4528301886792453,,
1998,0.0,0.4351145038167939,,
1999,0.022900763358778626,0.3893129770992366,,
2000,0.0,0.5466666666666666,,
2001,0.0,0.46540880503144655,,
2002,0.020942408376963352,0.4712041884816754,,
2003,0.023255813953488372,0.46511627906976744,,
2004,0.038314176245210725,0.4674329501915709,,
2005,0.05245901639344262,0.46557377049180326,,
2006,0.03581267217630854,0.43526170798898073,,
2007,0.0663265306122449,0.42091836734693877,,
2008,0.052873563218390804,0.38620689655172413,,
2009,0.08433734939759036,0.44779116465863456,,
2010,0.10654205607476636,0.4093457943925234,,
2011,0.09737827715355805,0.4232209737827715,,
2012,0.11355311355311355,0.41025641025641024,,
2013,0.16007194244604317,0.40827338129496404,,
2014,0.21023765996343693,0.4040219378427788,0.20776400589188881,0.3657437672697057
2015,0.24581005586592178,0.3743016759776536,0.23648498043790056,0.37035024399093075
2016,0.259391771019678,0.35062611806797855,0.2652059549839194,0.374956720712154
2017,0.2775800711743772,0.41637010676156583,0.29392692952993826,0.3795631974333791
2018,0.33548387096774196,0.36774193548387096,0.32264790407595,0.38416967415460235
2019,,,0.35136887862196886,0.3887761508758256
2020,,,0.3800898531679806,0.39338262759705067
2021,,,0.40881082771399946,0.39798910431827395
2022,,,0.4375318022600183,0.4025955810394972
2023,,,0.46625277680603006,0.40720205776072227
2024,,,0.4949737513520489,0.41180853448194554
2025,,,0.5236947258980607,0.4164150112031706
