year,china_keyword_share,us_keyword_share,eu_keyword_share,china_scibert_share,us_scibert_share,eu_scibert_share,china_scibert_cl_share,us_scibert_cl_share,eu_scibert_cl_share,china_scibert_cv_share,us_scibert_cv_share,eu_scibert_cv_share,china_scibert_ro_share,us_scibert_ro_share,eu_scibert_ro_share,china_elsevier_share,us_elsevier_share,eu_elsevier_share,china_scibert_not_cv_share,us_scibert_not_cv_share,eu_scibert_not_cv_share,china_keyword_count,us_keyword_count,eu_keyword_count,china_scibert_count,us_scibert_count,eu_scibert_count,china_scibert_cl_count,us_scibert_cl_count,eu_scibert_cl_count,china_scibert_cv_count,us_scibert_cv_count,eu_scibert_cv_count,china_scibert_ro_count,us_scibert_ro_count,eu_scibert_ro_count,china_elsevier_count,us_elsevier_count,eu_elsevier_count,china_scibert_not_cv_count,us_scibert_not_cv_count,eu_scibert_not_cv_count
2010,0.07194550872711793,0.34099616858237547,0.21541081311196253,0.07850467289719626,0.3155140186915888,0.24785046728971963,0.04163454124903624,0.36931380107941403,0.2289899768696993,0.10677290836653386,0.29800796812749003,0.2597609561752988,0.05730843528654218,0.304571796522859,0.2936252414681262,0.08508691674290943,0.3232692894175053,0.21591948764867339,0.06478603872818552,0.32942863973224956,0.24288787951231175,169,801,506,420,1688,1326,54,479,297,134,374,326,89,473,456,279,1060,708,271,1378,1016
2011,0.08658536585365853,0.33699186991869917,0.21300813008130082,0.0870325061167424,0.31702202027263193,0.23593149248514506,0.05046480743691899,0.34462151394422313,0.2403718459495352,0.10134128166915052,0.3263785394932936,0.23472429210134127,0.06271379703534778,0.30843785632839227,0.3010262257696693,0.08420441347270616,0.30691056910569103,0.21544715447154472,0.07599193006052454,0.3194351042367182,0.2403048643801838,213,829,524,498,1814,1350,76,519,362,136,438,315,110,541,528,290,1057,742,339,1425,1072
2012,0.09632157755024649,0.3029958285930982,0.21084565794463406,0.09802264661145851,0.2915328713875275,0.2421835389555518,0.0471311475409836,0.3312841530054645,0.23565573770491804,0.13278008298755187,0.2869986168741355,0.23029045643153526,0.0699942627653471,0.291451520367183,0.2943201376936317,0.09714599341383096,0.3026893523600439,0.21350164654226125,0.0751432349052446,0.3012340237990304,0.250330542089026,254,799,556,580,1725,1433,69,485,345,192,415,333,122,508,513,354,1103,778,341,1367,1136
2013,0.11316648531011969,0.2876314834965542,0.21073630758070366,0.11551867219917013,0.27269709543568466,0.23684647302904566,0.052701801200800535,0.35156771180787194,0.22615076717811874,0.1411764705882353,0.269281045751634,0.20588235294117646,0.08343125734430082,0.2773207990599295,0.2990599294947121,0.11140373979457466,0.2831182512509876,0.20015801948907033,0.09412535488097838,0.28150251146538546,0.24393972483074908,312,793,581,696,1643,1427,79,527,339,216,412,315,142,472,509,423,1075,760,431,1289,1117
2014,0.14672216441207075,0.27818244883801596,0.16892126257370793,0.14031520081342144,0.26893746822572445,0.21792916454838163,0.054785020804438284,0.33495145631067963,0.2288488210818308,0.20165394402035625,0.23091603053435114,0.19274809160305342,0.10445775116433799,0.2874251497005988,0.281437125748503,0.1419800460475825,0.27551803530314656,0.17958557175748274,0.11101103355100203,0.29160099076784507,0.22427381220445847,423,802,487,828,1587,1286,79,483,330,317,363,303,157,432,423,555,1077,702,493,1295,996
2015,0.1752400548696845,0.25891632373113854,0.1550068587105624,0.16366207140332273,0.2598091198303287,0.1933545422410746,0.07303370786516854,0.34620786516853935,0.21980337078651685,0.21424148606811144,0.21795665634674924,0.1715170278637771,0.11454849498327759,0.2976588628762542,0.2809364548494983,0.16512820512820514,0.25461538461538463,0.17487179487179488,0.1256856665871691,0.28309086572859526,0.20725017886954447,511,755,452,926,1470,1094,104,493,313,346,352,277,137,356,336,644,993,682,527,1187,869
2016,0.19188820722563055,0.2501704158145876,0.1445126107702795,0.19066223871849972,0.23442078530963079,0.17913655010744287,0.10015649452269171,0.29029733959311427,0.18544600938967137,0.23036303630363036,0.19801980198019803,0.17095709570957096,0.16105769230769232,0.2536057692307692,0.22235576923076922,0.18427139552814187,0.2459521973785659,0.15677203803649448,0.16159188034188035,0.25827991452991456,0.1909722222222222,563,734,424,976,1200,917,128,371,237,349,300,259,134,211,185,717,957,610,605,967,715
2017,0.20211161387631976,0.2334841628959276,0.12428355957767723,0.20528455284552846,0.221359940872136,0.15077605321507762,0.08922558922558922,0.2668350168350168,0.17592592592592593,0.2407170294494238,0.19718309859154928,0.13636363636363635,0.15028248587570622,0.2440677966101695,0.23615819209039549,0.212312734082397,0.22940074906367042,0.1301498127340824,0.17084282460136674,0.24550746646418628,0.1629967096937484,670,774,412,1111,1198,816,106,317,209,376,308,213,133,216,209,907,980,556,675,970,644
2018,0.21496409543664582,0.2434561037757702,0.13134120917303682,0.22422517394054395,0.21473750790638838,0.1419987349778621,0.13369397217928902,0.24574961360123648,0.14605873261205565,0.2771618625277162,0.184589800443459,0.14467849223946785,0.1870576339737108,0.23761375126390294,0.224469160768453,0.21825396825396826,0.231859410430839,0.13624338624338625,0.194206008583691,0.23240343347639486,0.1446351931330472,928,1051,567,1418,1358,898,173,318,189,500,333,261,185,235,222,1155,1227,721,905,1083,674
2019,0.22246376811594204,0.2125,0.14166666666666666,0.24055325823470697,0.2091829459575075,0.14544417510337943,0.13140495867768595,0.30082644628099175,0.1487603305785124,0.2893326838772528,0.16804676083779835,0.13054067218704335,0.20549450549450549,0.21208791208791208,0.2087912087912088,0.22730847884222116,0.2013528393896492,0.14440773949976404,0.21298855112514806,0.22621397552309513,0.15791551519936833,1228,1173,782,1687,1467,1020,159,364,180,594,345,268,187,193,190,1445,1280,918,1079,1146,800
