year,china_keyword_share,us_keyword_share,eu_keyword_share,china_scibert_share,us_scibert_share,eu_scibert_share,china_scibert_cl_share,us_scibert_cl_share,eu_scibert_cl_share,china_scibert_cv_share,us_scibert_cv_share,eu_scibert_cv_share,china_scibert_ro_share,us_scibert_ro_share,eu_scibert_ro_share,china_elsevier_share,us_elsevier_share,eu_elsevier_share,china_scibert_not_cv_share,us_scibert_not_cv_share,eu_scibert_not_cv_share,china_keyword_count,us_keyword_count,eu_keyword_count,china_scibert_count,us_scibert_count,eu_scibert_count,china_scibert_cl_count,us_scibert_cl_count,eu_scibert_cl_count,china_scibert_cv_count,us_scibert_cv_count,eu_scibert_cv_count,china_scibert_ro_count,us_scibert_ro_count,eu_scibert_ro_count,china_elsevier_count,us_elsevier_count,eu_elsevier_count,china_scibert_not_cv_count,us_scibert_not_cv_count,eu_scibert_not_cv_count
2010,0.08535547041294168,0.31438910174542356,0.22669220945083013,0.08663131982579057,0.283563718992615,0.25762166256390834,0.050094876660341556,0.32447817836812143,0.2493358633776091,0.11570247933884298,0.2706611570247934,0.2566115702479339,0.0743073047858942,0.26511335012594456,0.2903022670025189,0.08859408356206161,0.3035986581274779,0.22644098810612992,0.07173149157881982,0.29443838604143946,0.2585726402520296,401,1477,1065,915,2995,2721,132,855,657,280,655,621,236,842,922,581,1991,1485,592,2430,2134
2011,0.0951219512195122,0.3054878048780488,0.22276422764227644,0.08586572438162544,0.2826855123674912,0.25812720848056536,0.054227012462108454,0.31559447625463116,0.26136746379252274,0.11059907834101383,0.27918586789554534,0.25499231950844853,0.08324084350721421,0.26664816870144287,0.28551609322974475,0.09160859465737514,0.28585946573751453,0.2190766550522648,0.07431213351375733,0.2873252142534957,0.260148849797023,468,1503,1096,972,3200,2922,161,937,776,288,727,664,300,961,1029,631,1969,1509,659,2548,2307
2012,0.10744741330301308,0.2812203903733182,0.22076937653970058,0.09934909215484755,0.2661014045906132,0.2539397053785543,0.05581708137188971,0.3063214525891056,0.24949562878278414,0.1392946205913787,0.2522265764161026,0.2415390096188101,0.08758716875871687,0.25523012552301255,0.2900976290097629,0.10481547537385101,0.27397448209630954,0.22897516806146248,0.0799114554510238,0.28079690094078585,0.2609850581073603,567,1484,1165,1160,3107,2965,166,911,742,391,708,678,314,915,1040,764,1997,1669,722,2537,2358
2013,0.12332245194051505,0.26024664490388105,0.2276024664490388,0.11772631578947368,0.2487578947368421,0.2502736842105263,0.06464646464646465,0.30505050505050507,0.24006734006734007,0.1498511412504135,0.23321204101885545,0.23056566324842873,0.09340659340659341,0.25274725274725274,0.30711393869288606,0.12402896642527979,0.25608953258722844,0.22146148782093483,0.09632571996027806,0.25940637757916807,0.26591636323513185,680,1435,1255,1398,2954,2972,192,906,713,453,705,697,323,874,1062,942,1945,1682,873,2351,2410
2014,0.14030523759972252,0.25494276795005205,0.19181408255289628,0.13818056512749827,0.2456064782908339,0.2359579600275672,0.0679886685552408,0.29603399433427763,0.25106232294617564,0.18808074335148992,0.20986863184876642,0.2156360140980455,0.10774858663119388,0.25839707349517793,0.3012969737279681,0.1413404962906114,0.2518546942952162,0.19749296495267332,0.11224256292906179,0.26361556064073227,0.2459954233409611,809,1470,1106,1604,2851,2739,192,836,709,587,655,673,324,777,906,1105,1969,1544,981,2304,2150
2015,0.16718106995884774,0.25274348422496573,0.17301097393689988,0.15635120546959339,0.24496221662468515,0.22076286433969053,0.08318065225357274,0.314034444851594,0.22242579699523635,0.2147161433555344,0.20107833809070727,0.20202981287662544,0.11605252011859382,0.2740364252435409,0.289707750952986,0.16141025641025641,0.23987179487179489,0.18756410256410255,0.12147030185004869,0.2693524829600779,0.2349074975657254,975,1474,1009,1738,2723,2454,227,857,607,677,634,637,274,647,684,1259,1871,1463,998,2213,1930
2016,0.19597818677573278,0.23568507157464214,0.1632583503749148,0.18492134164440488,0.2221232808944296,0.1992678341743346,0.10128152128978916,0.2567176519222819,0.218685407193055,0.24128686327077747,0.18599195710455765,0.1779490616621984,0.14451928965094918,0.24556031843233314,0.258420085731782,0.18722693395014134,0.23104600359804678,0.17116422513492677,0.15294434712302923,0.24390243902439024,0.2142568387009837,1150,1383,958,1869,2245,2014,245,621,529,720,555,531,236,401,422,1457,1798,1332,1135,1810,1590
2017,0.1980392156862745,0.21764705882352942,0.14675716440422323,0.20345507464087878,0.20721059055487748,0.17782367852783776,0.09148550724637682,0.24954710144927536,0.2006340579710145,0.2500803600128576,0.17486338797814208,0.15396978463516553,0.15947035118019573,0.23546344271732872,0.2602187679907887,0.2034176029962547,0.21886704119850187,0.15507958801498128,0.16943478820651475,0.23020471224410968,0.19286725891592635,1313,1443,973,2167,2207,1894,202,551,443,778,544,479,277,409,452,1738,1870,1325,1316,1788,1498
2018,0.2083622886263609,0.22457725272179754,0.14570303451470928,0.2160808016542071,0.19866390965484332,0.1554000318116749,0.1349896480331263,0.24347826086956523,0.16563146997929606,0.26911229347521703,0.16774012881545786,0.1425371044525343,0.17899031106578275,0.22590515043345233,0.22947475777664456,0.2107898715041572,0.21797052154195012,0.15060468631897203,0.181867300626756,0.2159066349686622,0.17073697860384698,1799,1939,1258,2717,2498,1954,326,588,400,961,599,509,351,443,450,2231,2307,1594,1683,1998,1580
2019,0.21965579710144928,0.21141304347826087,0.1492753623188406,0.22990654205607478,0.20208483105679367,0.15585909417685118,0.14279852277390234,0.272055806319245,0.1555190808370948,0.2894226103833091,0.15429403202328967,0.14410480349344978,0.2001111728738188,0.20900500277932185,0.23179544191217344,0.22148812332861412,0.20253264118294792,0.15589114362120496,0.20055572094869506,0.22437233303562568,0.16135754688895504,2425,2334,1648,3198,2811,2168,348,663,379,1193,636,594,360,376,417,2816,2575,1982,2021,2261,1626
2020,0.23597883597883598,0.17777777777777778,0.15132275132275133,0.2649625935162095,0.16708229426433915,0.16084788029925187,0.13385826771653545,0.2677165354330709,0.1889763779527559,0.3625254582484725,0.12219959266802444,0.12627291242362526,0.21105527638190955,0.22613065326633167,0.20100502512562815,0.23286052009456265,0.1731678486997636,0.16312056737588654,0.21800529567519858,0.1853486319505737,0.18181818181818182,446,336,286,425,268,258,17,34,24,178,60,62,42,45,40,394,293,276,247,210,206
