year,china_keyword_share,us_keyword_share,eu_keyword_share,china_scibert_share,us_scibert_share,eu_scibert_share,china_scibert_cl_share,us_scibert_cl_share,eu_scibert_cl_share,china_scibert_cv_share,us_scibert_cv_share,eu_scibert_cv_share,china_scibert_ro_share,us_scibert_ro_share,eu_scibert_ro_share,china_elsevier_share,us_elsevier_share,eu_elsevier_share,china_scibert_not_cv_share,us_scibert_not_cv_share,eu_scibert_not_cv_share,china_keyword_count,us_keyword_count,eu_keyword_count,china_scibert_count,us_scibert_count,eu_scibert_count,china_scibert_cl_count,us_scibert_cl_count,eu_scibert_cl_count,china_scibert_cv_count,us_scibert_cv_count,eu_scibert_cv_count,china_scibert_ro_count,us_scibert_ro_count,eu_scibert_ro_count,china_elsevier_count,us_elsevier_count,eu_elsevier_count,china_scibert_not_cv_count,us_scibert_not_cv_count,eu_scibert_not_cv_count
2010,0.06257982120051085,0.37292464878671777,0.20689655172413793,0.06706652126499454,0.35768811341330425,0.22464558342420937,0.02466367713004484,0.45067264573991034,0.19955156950672645,0.08139534883720931,0.34651162790697676,0.24883720930232558,0.05283757338551859,0.34442270058708413,0.273972602739726,0.08051235132662397,0.36596523330283626,0.19579139981701738,0.05555555555555555,0.37060478199718705,0.21308016877637131,49,292,162,123,656,412,11,201,89,35,149,107,27,176,140,88,400,214,79,527,303
2011,0.07439024390243902,0.374390243902439,0.17926829268292682,0.07059421025901473,0.37887252412392075,0.2031488065007618,0.04905660377358491,0.41509433962264153,0.2188679245283019,0.08798283261802575,0.3927038626609442,0.18454935622317598,0.0582010582010582,0.38271604938271603,0.26455026455026454,0.0740418118466899,0.34146341463414637,0.18728222996515678,0.06827048114434331,0.37256176853055917,0.20871261378413525,61,307,147,139,746,400,26,220,116,41,183,86,33,217,150,85,392,215,105,573,321
2012,0.09556313993174062,0.32992036405005687,0.1899886234357224,0.0842835894893406,0.3306891422905305,0.20971740208230044,0.03977272727272727,0.3787878787878788,0.23863636363636365,0.12096774193548387,0.33064516129032256,0.2157258064516129,0.05811965811965812,0.29914529914529914,0.27863247863247864,0.09390444810543658,0.32948929159802304,0.18780889621087316,0.0592401802962009,0.33483580167417903,0.22215067611075337,84,290,167,170,667,423,21,200,126,60,164,107,34,175,163,114,400,228,92,520,345
2013,0.10990206746463548,0.33188248095756256,0.18498367791077258,0.1141732283464567,0.3154527559055118,0.20127952755905512,0.028409090909090908,0.4318181818181818,0.16477272727272727,0.12790697674418605,0.313953488372093,0.18604651162790697,0.06759098786828423,0.3431542461005199,0.28422876949740034,0.10988142292490119,0.3256916996047431,0.16126482213438736,0.09161793372319688,0.31773879142300193,0.22287199480181935,101,305,170,232,641,409,15,228,87,66,162,96,39,198,164,139,412,204,141,489,343
2014,0.13111342351716962,0.30801248699271594,0.13735691987513007,0.13902681231380337,0.28649453823237336,0.19215491559086395,0.05304518664047151,0.37524557956778,0.18664047151277013,0.17843866171003717,0.2732342007434944,0.18029739776951673,0.07312252964426877,0.3458498023715415,0.2509881422924901,0.13584036838066002,0.28242517267843437,0.15349194167306215,0.10536779324055666,0.3081510934393638,0.19946984758117958,126,296,132,280,577,387,27,191,95,96,147,97,37,175,127,177,368,200,159,465,301
2015,0.16255144032921812,0.26954732510288065,0.13065843621399176,0.15866388308977036,0.2755741127348643,0.162839248434238,0.08863198458574181,0.35067437379576105,0.17726396917148363,0.1989051094890511,0.24452554744525548,0.14051094890510948,0.11221945137157108,0.3266832917705736,0.24438902743142144,0.1676923076923077,0.27384615384615385,0.15,0.11535739561217269,0.3029016277423921,0.18895966029723993,158,262,127,304,528,312,46,182,92,109,134,77,45,131,98,218,356,195,163,428,267
2016,0.1738241308793456,0.27300613496932513,0.1278118609406953,0.18229166666666666,0.2569444444444444,0.15162037037037038,0.13596491228070176,0.3026315789473684,0.14473684210526316,0.20930232558139536,0.24612403100775193,0.13372093023255813,0.1276595744680851,0.28368794326241137,0.22695035460992907,0.17656129529683887,0.27216653816499614,0.12567463377023902,0.15035799522673032,0.27923627684964203,0.15513126491646778,170,267,125,315,444,262,62,138,66,108,127,69,36,80,64,229,353,163,189,351,195
2017,0.18371040723981902,0.2497737556561086,0.10497737556561086,0.19923371647509577,0.240831964969896,0.1116584564860427,0.08411214953271028,0.24299065420560748,0.1378504672897196,0.2038095238095238,0.2038095238095238,0.11619047619047619,0.19078947368421054,0.2598684210526316,0.18092105263157895,0.2050561797752809,0.2443820224719101,0.10463483146067416,0.1824925816023739,0.258160237388724,0.11498516320474778,203,276,116,364,440,204,36,104,59,107,107,61,58,79,55,292,348,149,246,348,155
2018,0.20013898540653233,0.26546212647671996,0.12230715774843641,0.22264150943396227,0.23726415094339623,0.12877358490566038,0.12556053811659193,0.273542600896861,0.13228699551569506,0.2722772277227723,0.20957095709570958,0.15181518151815182,0.19940476190476192,0.23809523809523808,0.20535714285714285,0.21485260770975056,0.2528344671201814,0.12528344671201813,0.19174603174603175,0.2571428571428571,0.11936507936507937,288,382,176,472,503,273,56,122,59,165,127,92,67,80,69,379,446,221,302,405,188
2019,0.23315217391304346,0.22554347826086957,0.12119565217391304,0.25580413676656816,0.21063739974672857,0.12494723512030392,0.11212814645308924,0.3524027459954233,0.10983981693363844,0.315028901734104,0.16184971098265896,0.11127167630057803,0.22364217252396165,0.21405750798722045,0.19169329073482427,0.23643227937706465,0.21283624351109015,0.11798017932987258,0.22530329289428075,0.2339688041594454,0.1294049682264587,429,415,223,606,499,296,49,154,48,218,112,77,70,67,60,501,451,250,390,405,224
