year,china_keyword_share,us_keyword_share,eu_keyword_share,china_scibert_share,us_scibert_share,eu_scibert_share,china_scibert_cl_share,us_scibert_cl_share,eu_scibert_cl_share,china_scibert_cv_share,us_scibert_cv_share,eu_scibert_cv_share,china_scibert_ro_share,us_scibert_ro_share,eu_scibert_ro_share,china_elsevier_share,us_elsevier_share,eu_elsevier_share,china_subject_count,us_subject_count,eu_subject_count,china_scibert_not_cv_share,us_scibert_not_cv_share,eu_scibert_not_cv_share,china_keyword_count,us_keyword_count,eu_keyword_count,china_scibert_count,us_scibert_count,eu_scibert_count,china_scibert_cl_count,us_scibert_cl_count,eu_scibert_cl_count,china_scibert_cv_count,us_scibert_cv_count,eu_scibert_cv_count,china_scibert_ro_count,us_scibert_ro_count,eu_scibert_ro_count,china_elsevier_count,us_elsevier_count,eu_elsevier_count,china_scibert_not_cv_count,us_scibert_not_cv_count,eu_scibert_not_cv_count
2010,0.07262804366078925,0.3421494542401343,0.21536523929471033,0.06917437041759643,0.33439591966847304,0.23732865795345873,0.035194744251525106,0.37869544814641015,0.1970905678085406,0.09883720930232558,0.3074127906976744,0.2601744186046512,0.05360824742268041,0.3345360824742268,0.2706185567010309,0.08512571947894577,0.3229324447137231,0.21569221448046047,394,1050,897,0.05536332179930796,0.3489042675893887,0.23452518262206842,173,815,513,434,2098,1489,75,807,420,136,423,358,104,649,525,281,1066,712,288,1815,1220
2011,0.08638007231820008,0.33547609481719565,0.21414222579349138,0.07735792918774174,0.3280273728057126,0.23088366557572151,0.036991368680641186,0.3567612001644061,0.2157829839704069,0.09627118644067796,0.3254237288135593,0.23864406779661018,0.05786618444846293,0.34403254972875225,0.2680831826401447,0.08408234270803132,0.30675558132792113,0.21542476080023196,420,1116,851,0.06478822684852836,0.332735104091888,0.23582196697774588,215,835,533,520,2205,1552,90,868,525,142,480,352,128,761,593,290,1058,743,361,1854,1314
2012,0.0957169459962756,0.30242085661080076,0.21154562383612663,0.08786011179590082,0.30786871148057904,0.23735129711910563,0.040099214551467546,0.35179826374534934,0.21083092186854072,0.1258609893550407,0.29555416405760804,0.23043206011271133,0.06236275801493193,0.339481774264383,0.2678963548528766,0.09699453551912568,0.30273224043715846,0.21311475409836064,469,1115,984,0.06600181323662738,0.32039891205802357,0.2413417951042611,257,812,568,613,2148,1656,97,851,510,201,472,368,142,773,610,355,1108,780,364,1767,1331
2013,0.11295561169252977,0.2872609166365933,0.2114760014435222,0.10437661963720127,0.2869277281888857,0.23293982147998848,0.04115917681646367,0.3548929021419572,0.20369592608147838,0.1305655836341757,0.27918170878459686,0.2111913357400722,0.07540229885057471,0.3181609195402299,0.2813793103448276,0.11113963039014374,0.28234086242299794,0.199435318275154,540,1040,913,0.0818787115350009,0.30268130286125605,0.2359186611481015,313,796,586,725,1993,1618,98,845,485,217,464,351,164,692,612,433,1100,777,455,1682,1311
2014,0.14620689655172414,0.2789655172413793,0.1686206896551724,0.1266757041723151,0.2870914294321434,0.21464075915047448,0.04124168514412417,0.34323725055432375,0.2048780487804878,0.18658034137728075,0.2507357268981754,0.19364331959976458,0.09621621621621622,0.32594594594594595,0.2583783783783784,0.14154228855721393,0.2751243781094527,0.1791044776119403,749,1029,809,0.09749303621169916,0.3093779015784587,0.22154131847725161,424,809,489,841,1906,1425,93,774,462,317,426,329,178,603,478,569,1106,720,525,1666,1193
2015,0.17466666666666666,0.258,0.157,0.15126966817261256,0.2702913226359246,0.1955133198317495,0.061010486177311724,0.34318398474737843,0.21591992373689228,0.2031523642732049,0.22533566841798014,0.17571511967308814,0.10645848119233499,0.3222143364088006,0.26614620298083747,0.16434187167131625,0.2538676134922648,0.17626172964747655,912,1082,816,0.11088790678987545,0.2971072719967859,0.20630775411811972,524,774,471,971,1735,1255,128,720,453,348,386,301,150,454,375,648,1001,695,552,1479,1027
2016,0.19230769230769232,0.25,0.14356763925729443,0.17791086841641712,0.24854676765897482,0.18055310903646293,0.08228195282501372,0.321996708721887,0.19089413055403182,0.2191185599006828,0.20297951582867785,0.17628801986343887,0.15274949083503056,0.2729124236252546,0.2219959266802444,0.18366311516996447,0.24606798579401318,0.15778792491121257,1053,931,765,0.1450313339301701,0.2757385854968666,0.19203222918531782,580,754,433,1010,1411,1025,150,587,348,353,327,284,150,268,218,724,970,622,648,1232,858
2017,0.20192887281494876,0.2332730560578662,0.12447257383966245,0.1942422236929186,0.2313037723362012,0.1528788881535407,0.07411835026897788,0.2958756724447101,0.1763299462044232,0.23118603251053582,0.20650210716435882,0.1366646598434678,0.1416015625,0.265625,0.236328125,0.212333566923616,0.22938565755664564,0.1301097874328428,1273,947,795,0.15718038528896672,0.25809982486865146,0.1659369527145359,670,774,413,1174,1398,924,124,495,295,384,343,227,145,272,242,909,982,557,718,1179,758
2018,0.21281714785651792,0.24387576552930884,0.13298337707786526,0.21061619467767184,0.22698164223708553,0.1461505621175466,0.1146384479717813,0.27454438565549677,0.1646090534979424,0.2658626114315679,0.19402202412165706,0.14682747771368643,0.1761904761904762,0.25396825396825395,0.21984126984126984,0.2178463721837857,0.23044172432144758,0.1355330849742771,1596,958,747,0.1779218440482622,0.24707365388078517,0.15379074374212137,973,1115,608,1480,1595,1027,195,467,280,507,370,280,222,320,277,1228,1299,764,988,1372,854
2019,0.22288308029425574,0.2098920018782282,0.14556268586633275,0.22342495743128193,0.21977621016784238,0.15567988324008758,0.10963646855164455,0.2994806693594922,0.18638199653779572,0.27395715896279593,0.1785043216835776,0.13378429161969185,0.18012422360248448,0.2329192546583851,0.22748447204968944,0.2275296777840588,0.2011023176936122,0.14513849632560769,1810,1046,918,0.1967127120125896,0.23955236929533136,0.16716209127469836,1424,1341,930,1837,1807,1280,190,519,323,729,475,356,232,300,293,1610,1423,1027,1125,1370,956
2020,0.24144368388301182,0.18606098319850653,0.14561294337274425,0.2653658536585366,0.1795121951219512,0.1521951219512195,0.08530805687203792,0.3886255924170616,0.18009478672985782,0.36333333333333334,0.14666666666666667,0.11,0.2138728323699422,0.3063583815028902,0.14450867052023122,0.25937183383991896,0.16109422492401215,0.1540020263424519,427,170,265,0.22013422818791947,0.19328859060402684,0.1704697986577181,388,299,234,272,184,156,18,82,38,109,44,33,37,53,25,256,159,152,164,144,127
