year,china_keyword_share,us_keyword_share,eu_keyword_share,china_scibert_share,us_scibert_share,eu_scibert_share,china_scibert_cl_share,us_scibert_cl_share,eu_scibert_cl_share,china_scibert_cv_share,us_scibert_cv_share,eu_scibert_cv_share,china_scibert_ro_share,us_scibert_ro_share,eu_scibert_ro_share,china_elsevier_share,us_elsevier_share,eu_elsevier_share,china_subject_count,us_subject_count,eu_subject_count,china_scibert_not_cv_share,us_scibert_not_cv_share,eu_scibert_not_cv_share,china_keyword_count,us_keyword_count,eu_keyword_count,china_scibert_count,us_scibert_count,eu_scibert_count,china_scibert_cl_count,us_scibert_cl_count,eu_scibert_cl_count,china_scibert_cv_count,us_scibert_cv_count,eu_scibert_cv_count,china_scibert_ro_count,us_scibert_ro_count,eu_scibert_ro_count,china_elsevier_count,us_elsevier_count,eu_elsevier_count,china_scibert_not_cv_count,us_scibert_not_cv_count,eu_scibert_not_cv_count
2010,0.0852959898154042,0.3142372162104817,0.22639507744536388,0.07593649800578713,0.3064049425197466,0.2477516227418472,0.04198302813756141,0.3414470745868691,0.21170165252344797,0.1040256501603135,0.282508015675098,0.2522265764161026,0.07575757575757576,0.28762198253723675,0.26913199794555726,0.08852658845040377,0.3035197318299558,0.22626847478287368,768,2036,1870,0.06160999709386806,0.31948077109367434,0.24508379347089024,402,1481,1067,971,3918,3168,188,1529,948,292,793,708,295,1120,1048,581,1992,1485,636,3298,2530
2011,0.09453234528339675,0.30402563589024634,0.22291207690767073,0.07618049839107985,0.29925914839482154,0.25166504527426475,0.04196242171189979,0.3269311064718163,0.225678496868476,0.10226492793411118,0.2882635552505148,0.2522306108442004,0.08411843876177658,0.29452669358456707,0.2590847913862719,0.09229005445686443,0.28489538549727716,0.21911722556606478,853,1956,1851,0.06444404719342152,0.30452270289595995,0.2522345370039328,472,1518,1113,1018,3999,3363,201,1566,1081,298,840,735,375,1313,1155,644,1988,1529,721,3407,2822
2012,0.10815868263473054,0.281437125748503,0.22062125748502995,0.0886157364396484,0.2844279282498392,0.24819552633459588,0.04662992793556592,0.3236540907164053,0.22382365409071642,0.12886115444617785,0.26614664586583464,0.2390015600624025,0.0821529745042493,0.2915667901503596,0.26628895184135976,0.10481547537385101,0.27397448209630954,0.22897516806146248,960,2035,2106,0.07000710732054016,0.3003731343283582,0.2526652452025586,578,1504,1179,1240,3980,3473,220,1527,1056,413,853,766,377,1338,1222,764,1997,1669,788,3381,2844
2013,0.12323561346362649,0.2602243937748824,0.2274701411509229,0.10528618301130149,0.26773605541378054,0.24681006197593874,0.050617283950617285,0.31790123456790126,0.21502057613168724,0.1381697772426249,0.24593618302227574,0.23178807947019867,0.08893709327548807,0.28753916606411184,0.28223668353820197,0.12417024599765716,0.25654041390082,0.22100741897696213,1083,1889,1955,0.0837830421659197,0.2831793652245495,0.2579346931308881,681,1438,1257,1444,3672,3385,246,1545,1045,459,817,770,369,1193,1171,954,1971,1698,916,3096,2820
2014,0.13961094852814598,0.2551213634016182,0.19159924255465657,0.12365356622998544,0.26346433770014555,0.23377001455604077,0.051838319250970544,0.3162822562228819,0.2242521123544188,0.1749566223250434,0.22729901677270098,0.21775592828224408,0.0990770901194354,0.2988599348534202,0.2744299674267101,0.14161886551943914,0.25188017845761634,0.19732313575525812,1409,1903,1897,0.09786784479446792,0.2864963503649635,0.24001152516327315,811,1482,1113,1699,3620,3212,227,1385,982,605,786,753,365,1101,1011,1111,1976,1548,1019,2983,2499
2015,0.16641604010025063,0.2534670008354219,0.1747702589807853,0.1417852118180397,0.2608253869001094,0.22065030483038925,0.07001667063586568,0.3231721838532984,0.21624196237199333,0.19912663755458515,0.21397379912663755,0.20727802037845705,0.10648148148148148,0.30163817663817666,0.27136752136752135,0.16157921291624622,0.2392785065590313,0.18882441977800202,1760,1972,1926,0.10803994754362958,0.28558458589730656,0.2328255825683446,996,1517,1046,1814,3337,2823,294,1357,908,684,735,712,299,847,762,1281,1897,1497,1071,2831,2308
2016,0.19612508497620665,0.23589394969408567,0.16315431679129844,0.17100339396049083,0.2367940127055957,0.20207118614567923,0.08367451381780962,0.2996417604912999,0.21264073694984648,0.228240450845335,0.19661865998747652,0.18159048215403883,0.13530864197530865,0.2696296296296296,0.2548148148148148,0.1866683248352195,0.23019524934709612,0.17162044521825642,2048,1892,1776,0.13781943979466577,0.26090838076107575,0.21749804709295836,1154,1388,960,1965,2721,2322,327,1171,831,729,628,580,274,546,516,1501,1851,1380,1235,2338,1949
2017,0.19835069444444445,0.21802662037037038,0.1480034722222222,0.18973649967469094,0.2185263500325309,0.1811971372804164,0.08091853471842538,0.2758337889557135,0.20639693821760524,0.24082499241734912,0.18531998786775858,0.15529269032453746,0.14715409532623785,0.2614530310041647,0.25173530772790376,0.20349036158320977,0.21866088741872933,0.15661001482833353,2406,1857,1817,0.15358861686545303,0.2436702238962126,0.19606612261979495,1371,1507,1023,2333,2687,2228,296,1009,755,794,611,512,318,565,544,1784,1917,1373,1468,2329,1874
2018,0.20898375278751194,0.22130190081767018,0.14664967611765956,0.20134416129935592,0.2109353122374685,0.16332959955194623,0.11296106557377049,0.27126024590163933,0.18160860655737704,0.2574110671936759,0.1756422924901186,0.14575098814229248,0.16940581542351454,0.2448377581120944,0.23261694058154236,0.21152833830496579,0.21714335848394456,0.1519564835936129,3010,1859,1763,0.16739209285455206,0.23159231048240841,0.1779107725788901,1968,2084,1381,2876,3013,2333,441,1059,709,1042,711,590,402,581,552,2411,2475,1732,1846,2554,1962
2019,0.22084327764518696,0.20994431185361973,0.14876690533015116,0.211118930330753,0.21214745845287716,0.16992367238672657,0.11168718945776626,0.2797580470944048,0.19896305897602073,0.27277371019921676,0.15852205005959474,0.15051932572790738,0.1788756388415673,0.22282793867120954,0.2354344122657581,0.22243672243672244,0.20248820248820248,0.1537966537966538,3714,2247,2321,0.1801670626101617,0.23656985209594605,0.18062686795923058,2776,2639,1870,3900,3919,3139,517,1295,921,1602,931,884,525,654,691,3111,2832,2151,2351,3087,2357
2020,0.23212461695607764,0.1721144024514811,0.1601123595505618,0.22471655328798185,0.1764172335600907,0.18412698412698414,0.0873015873015873,0.32936507936507936,0.1984126984126984,0.33121019108280253,0.12022292993630573,0.14410828025477707,0.17635658914728683,0.21511627906976744,0.22674418604651161,0.23244147157190637,0.17447045707915274,0.1605351170568562,949,390,724,0.19492158327109785,0.20761762509335324,0.18446601941747573,909,674,627,991,778,812,44,166,100,416,151,181,91,111,117,417,313,288,261,278,247
