year,china_keyword_share,us_keyword_share,eu_keyword_share,china_scibert_share,us_scibert_share,eu_scibert_share,china_scibert_cl_share,us_scibert_cl_share,eu_scibert_cl_share,china_scibert_cv_share,us_scibert_cv_share,eu_scibert_cv_share,china_scibert_ro_share,us_scibert_ro_share,eu_scibert_ro_share,china_elsevier_share,us_elsevier_share,eu_elsevier_share,china_scibert_not_cv_share,us_scibert_not_cv_share,eu_scibert_not_cv_share,china_keyword_count,us_keyword_count,eu_keyword_count,china_scibert_count,us_scibert_count,eu_scibert_count,china_scibert_cl_count,us_scibert_cl_count,eu_scibert_cl_count,china_scibert_cv_count,us_scibert_cv_count,eu_scibert_cv_count,china_scibert_ro_count,us_scibert_ro_count,eu_scibert_ro_count,china_elsevier_count,us_elsevier_count,eu_elsevier_count,china_scibert_not_cv_count,us_scibert_not_cv_count,eu_scibert_not_cv_count
2010,0.06641123882503193,0.36015325670498083,0.2081736909323116,0.07578712733351908,0.32571747004736695,0.24658679297854555,0.03329506314580941,0.4213547646383467,0.20321469575200918,0.10438908659549229,0.3190984578884935,0.25741399762752076,0.05415860735009671,0.3413926499032882,0.27562862669245647,0.07868252516010979,0.3444647758462946,0.2081427264409881,0.06247755834829444,0.33895870736086176,0.23806104129263914,104,564,326,272,1169,885,29,367,177,88,269,217,56,353,285,172,753,455,174,944,663
2011,0.08048780487804878,0.35,0.19939024390243903,0.08523908523908524,0.3406964656964657,0.2247920997920998,0.04671968190854871,0.3757455268389662,0.21968190854870775,0.10033076074972437,0.3472987872105843,0.22160970231532526,0.059027777777777776,0.3255208333333333,0.2890625,0.08188153310104529,0.31489547038327526,0.20993031358885017,0.07490013315579228,0.33854860186418106,0.22636484687083888,132,574,327,328,1311,865,47,378,221,91,315,201,68,375,333,188,723,482,225,1017,680
2012,0.09101251422070535,0.3174061433447099,0.20534698521046643,0.09429218003520241,0.30676389238119184,0.2303243650993211,0.04208416833667335,0.343687374749499,0.23446893787575152,0.13948717948717948,0.30666666666666664,0.22153846153846155,0.06044905008635579,0.29620034542314333,0.2867012089810017,0.09386578839028406,0.3112391930835735,0.20214079868258542,0.07343342036553525,0.31723237597911225,0.23596605744125326,160,558,361,375,1220,916,42,343,234,136,299,216,70,343,332,228,756,491,225,972,723
2013,0.11969532100108814,0.2883569096844396,0.20348204570184983,0.10794044665012408,0.29330024813895783,0.22009925558312654,0.04244817374136229,0.3830207305034551,0.21421520236920039,0.14603481624758222,0.29206963249516443,0.19245647969052224,0.08244680851063829,0.30939716312056736,0.2845744680851064,0.11615962070327934,0.2923745555116555,0.18846305807981034,0.08841761827079934,0.29885807504078304,0.23523654159869495,220,530,374,435,1182,887,43,388,217,151,302,199,93,349,321,294,740,477,271,916,721
2014,0.14151925078043703,0.2934443288241415,0.15452653485952134,0.14181175876860963,0.278072167549836,0.20413827908150392,0.054380664652567974,0.35850956696878145,0.2134944612286002,0.18944392082940623,0.23468426013195098,0.1988689915174364,0.09731876861966236,0.3038728897715988,0.26514399205561073,0.13737528779739064,0.27398311588641594,0.17689946277820415,0.1081989247311828,0.3014112903225806,0.2180779569892473,272,564,297,562,1102,809,54,356,212,201,249,211,98,306,267,358,714,461,322,897,649
2015,0.16820987654320987,0.2674897119341564,0.14814814814814814,0.16544117647058823,0.266281512605042,0.18119747899159663,0.07494866529774127,0.3624229979466119,0.19096509240246407,0.21033210332103322,0.23431734317343172,0.1559040590405904,0.11318407960199005,0.2947761194029851,0.2736318407960199,0.16423076923076924,0.2653846153846154,0.1676923076923077,0.12392857142857143,0.29428571428571426,0.19285714285714287,327,520,288,630,1014,690,73,353,186,228,254,169,91,237,220,427,690,436,347,824,540
2016,0.18762781186094069,0.25153374233128833,0.13190184049079753,0.18848167539267016,0.23938336242001163,0.17102966841186737,0.10340909090909091,0.29772727272727273,0.1784090909090909,0.22526934378060726,0.21645445641527913,0.15670910871694418,0.15658362989323843,0.25622775800711745,0.22597864768683273,0.18735543562066306,0.25212027756360833,0.14302235929067078,0.15631183221210923,0.259596359319351,0.18559556786703602,367,492,258,648,823,588,91,262,157,230,221,160,88,144,127,486,654,371,395,656,469
2017,0.19864253393665157,0.2334841628959276,0.11493212669683257,0.20809248554913296,0.22708505367464904,0.13680154142581888,0.09202453987730061,0.2723926380368098,0.1521472392638037,0.23714285714285716,0.19428571428571428,0.12857142857142856,0.1546218487394958,0.25546218487394956,0.21512605042016808,0.2110252808988764,0.23665730337078653,0.12359550561797752,0.17329332333083272,0.24568642160540136,0.1511627906976744,439,516,254,756,825,497,75,222,124,249,204,135,92,152,128,601,674,352,462,655,403
2018,0.20465601111883253,0.2595552466990966,0.1226546212647672,0.22816568047337277,0.22201183431952662,0.1370414201183432,0.12022471910112359,0.26179775280898876,0.14269662921348314,0.27250206440957886,0.1981833195706028,0.14698596201486375,0.18882175226586104,0.23413897280966767,0.22356495468277945,0.21541950113378686,0.2429138321995465,0.1306689342403628,0.19782678171939916,0.24097155640779802,0.13486736976669864,589,747,353,964,938,579,107,233,127,330,240,178,125,155,148,760,857,461,619,754,422
2019,0.23478260869565218,0.2184782608695652,0.13125,0.24290893580720835,0.21134570270846662,0.1362763915547025,0.12440191387559808,0.31698564593301437,0.1375598086124402,0.2927007299270073,0.17518248175182483,0.12700729927007298,0.20228384991843393,0.2169657422512235,0.21207177814029363,0.24044360547428031,0.20339782916470034,0.13591316658801322,0.21767304860088366,0.2329896907216495,0.14197349042709867,864,804,483,1139,991,639,104,265,115,401,240,174,124,133,130,1019,862,576,739,791,482
