year,china_keyword_share,us_keyword_share,eu_keyword_share,china_scibert_share,us_scibert_share,eu_scibert_share,china_scibert_cl_share,us_scibert_cl_share,eu_scibert_cl_share,china_scibert_cv_share,us_scibert_cv_share,eu_scibert_cv_share,china_scibert_ro_share,us_scibert_ro_share,eu_scibert_ro_share,china_elsevier_share,us_elsevier_share,eu_elsevier_share,china_subject_count,us_subject_count,eu_subject_count,china_scibert_not_cv_share,us_scibert_not_cv_share,eu_scibert_not_cv_share,china_keyword_count,us_keyword_count,eu_keyword_count,china_scibert_count,us_scibert_count,eu_scibert_count,china_scibert_cl_count,us_scibert_cl_count,eu_scibert_cl_count,china_scibert_cv_count,us_scibert_cv_count,eu_scibert_cv_count,china_scibert_ro_count,us_scibert_ro_count,eu_scibert_ro_count,china_elsevier_count,us_elsevier_count,eu_elsevier_count,china_scibert_not_cv_count,us_scibert_not_cv_count,eu_scibert_not_cv_count
2010,0.0625,0.3737244897959184,0.2066326530612245,0.060460652591170824,0.3709213051823417,0.21641074856046066,0.022408963585434174,0.4369747899159664,0.16946778711484595,0.07625272331154684,0.3464052287581699,0.2570806100217865,0.04897314375987362,0.382306477093207,0.24486571879936808,0.08029197080291971,0.3658759124087591,0.19616788321167883,122,385,287,0.047479484173505275,0.3886283704572098,0.20105509964830012,49,293,162,126,773,451,16,312,121,35,159,118,31,242,155,88,401,215,81,663,343
2011,0.07544910179640718,0.3772455089820359,0.17604790419161676,0.06444444444444444,0.3844444444444444,0.2031111111111111,0.03865336658354115,0.4027431421446384,0.19950124688279303,0.08418891170431211,0.3942505133470226,0.1868583162217659,0.05329593267882188,0.41935483870967744,0.23983169705469845,0.07401032702237521,0.3407917383820998,0.18588640275387264,123,430,241,0.05805038335158817,0.38663745892661555,0.20536692223439212,63,315,147,145,865,457,31,323,160,41,192,91,38,299,171,86,396,216,106,706,375
2012,0.09582863585118377,0.32807215332581735,0.19052987598647125,0.07658643326039387,0.33698030634573306,0.21050328227571116,0.03125,0.37875,0.20875,0.11406844106463879,0.32509505703422054,0.21863117870722434,0.052917232021709636,0.3487109905020353,0.26322930800542743,0.0935720097640358,0.3303498779495525,0.1887713588283157,152,416,277,0.05277475516866159,0.34221980413492925,0.22034820457018497,85,291,169,175,770,481,25,303,167,60,171,115,39,257,194,115,406,232,97,629,405
2013,0.1094257854821235,0.333694474539545,0.18418201516793067,0.10319516407599309,0.32124352331606215,0.20207253886010362,0.025839793281653745,0.417312661498708,0.14728682170542637,0.11891891891891893,0.31891891891891894,0.1837837837837838,0.06446991404011461,0.37106017191977075,0.2693409742120344,0.10878010878010878,0.32323232323232326,0.16006216006216006,173,395,270,0.07997823721436344,0.32752992383025026,0.21490750816104462,101,308,170,239,744,468,20,323,114,66,177,102,45,259,188,140,416,206,147,602,395
2014,0.13230769230769232,0.30974358974358973,0.13743589743589743,0.12934879571810884,0.29750223015165034,0.19000892060660124,0.04059539918809202,0.37347767253044656,0.17320703653585928,0.17077464788732394,0.2852112676056338,0.1795774647887324,0.0681063122923588,0.3687707641196013,0.23421926910299004,0.1353211009174312,0.28211009174311924,0.1536697247706422,260,366,232,0.09419063733784545,0.32430908065425834,0.19402143260011281,129,302,134,290,667,426,30,276,128,97,162,102,41,222,141,177,369,201,167,575,344
2015,0.162217659137577,0.26899383983572894,0.13039014373716631,0.146559849198869,0.2813383600377003,0.1696512723845429,0.07111111111111111,0.34814814814814815,0.18222222222222223,0.19546247818499127,0.24781849912739964,0.14659685863874344,0.0997920997920998,0.34303534303534305,0.23700623700623702,0.16921898928024504,0.27335375191424194,0.15007656967840735,296,388,230,0.10423053341508277,0.3090128755364807,0.19251992642550583,158,262,127,311,597,360,48,235,123,112,142,84,48,165,114,221,357,196,170,504,314
2016,0.17522658610271905,0.2688821752265861,0.12789526686807653,0.17065390749601275,0.2732589048378522,0.15257841573631048,0.10954616588419405,0.3114241001564945,0.1674491392801252,0.20786516853932585,0.250936329588015,0.13670411985018727,0.128125,0.2875,0.21875,0.1762894534257121,0.27251732101616627,0.1262509622786759,371,352,206,0.13601665510062458,0.30326162387231087,0.1554476058292852,174,267,127,321,514,287,70,199,107,111,134,73,41,92,70,229,354,164,196,437,224
2017,0.1865605658709107,0.246684350132626,0.10433244916003537,0.18928571428571428,0.251530612244898,0.11275510204081633,0.07130124777183601,0.2709447415329768,0.13903743315508021,0.19710669077757687,0.20976491862567812,0.11573236889692586,0.17313432835820897,0.26865671641791045,0.1880597014925373,0.20557491289198607,0.243205574912892,0.10522648083623694,449,317,208,0.16909814323607428,0.26989389920424406,0.1213527851458886,211,279,118,371,493,221,40,152,78,109,116,64,58,90,63,295,349,151,255,407,183
2018,0.20507682030728122,0.26118904475617905,0.12157648630594522,0.20921222557038313,0.2513990529487731,0.1300043047783039,0.1099476439790576,0.2862129144851658,0.15008726003490402,0.2621664050235479,0.22448979591836735,0.15070643642072212,0.18863049095607234,0.24806201550387597,0.20671834625322996,0.21517553793884484,0.25254813137032844,0.12514156285390712,555,330,232,0.18044237485448195,0.26775320139697323,0.1210710128055879,307,391,182,486,584,302,63,164,86,167,143,96,73,96,80,380,446,221,310,460,208
2019,0.23491592482690404,0.22354104846686448,0.12462908011869436,0.2376865671641791,0.21791044776119403,0.13432835820895522,0.10579710144927536,0.3391304347826087,0.16231884057971013,0.2916666666666667,0.1691919191919192,0.12121212121212122,0.18689320388349515,0.23786407766990292,0.19174757281553398,0.23679417122040072,0.21357012750455373,0.1197632058287796,665,338,247,0.20694645441389292,0.2392667631452002,0.14423540762180415,475,452,252,637,584,360,73,234,112,231,134,96,77,98,79,520,469,263,429,496,299
