year,china_keyword_share,us_keyword_share,eu_keyword_share,china_scibert_share,us_scibert_share,eu_scibert_share,china_scibert_cl_share,us_scibert_cl_share,eu_scibert_cl_share,china_scibert_cv_share,us_scibert_cv_share,eu_scibert_cv_share,china_scibert_ro_share,us_scibert_ro_share,eu_scibert_ro_share,china_elsevier_share,us_elsevier_share,eu_elsevier_share,china_subject_count,us_subject_count,eu_subject_count,china_scibert_not_cv_share,us_scibert_not_cv_share,eu_scibert_not_cv_share,china_keyword_count,us_keyword_count,eu_keyword_count,china_scibert_count,us_scibert_count,eu_scibert_count,china_scibert_cl_count,us_scibert_cl_count,eu_scibert_cl_count,china_scibert_cv_count,us_scibert_cv_count,eu_scibert_cv_count,china_scibert_ro_count,us_scibert_ro_count,eu_scibert_ro_count,china_elsevier_count,us_elsevier_count,eu_elsevier_count,china_scibert_not_cv_count,us_scibert_not_cv_count,eu_scibert_not_cv_count
2010,0.09577848388561053,0.2785973672265093,0.23275079437131185,0.07950537728044586,0.27204249575477857,0.25615012844516044,0.05712872511438111,0.2919500432793372,0.21540744404599976,0.11117717003567182,0.2506936187078874,0.2506936187078874,0.11940298507462686,0.22771463782007395,0.2399014103792962,0.09183338799606429,0.27476221712036736,0.22933748770088552,1436,3371,3737,0.06645241550901929,0.2822931785195936,0.2575679037943189,844,2455,2051,1826,6248,5883,462,2361,1742,561,1265,1265,872,1663,1752,1120,3351,2797,1282,5446,4969
2011,0.09621728612271828,0.2767758961952936,0.23103144930723554,0.08002046760607731,0.2683618042981973,0.25710462095567976,0.060626102292768956,0.2770061728395062,0.21924603174603174,0.10233230880491774,0.259808352919906,0.258723558126921,0.1369187411930484,0.23215124471582904,0.2314466885861907,0.09617928565870361,0.26106917749591474,0.23111041942261304,1522,3343,3605,0.06804133906937646,0.2772585669781931,0.2569846214706028,875,2517,2101,2033,6818,6532,550,2513,1989,566,1437,1431,1166,1977,1971,1236,3355,2970,1376,5607,5197
2012,0.10840080971659918,0.2575910931174089,0.22935222672064778,0.08997672675634097,0.25742574257425743,0.25643958818192575,0.06214561124971649,0.27330460421864367,0.22499432977999545,0.12566401062417,0.23240371845949534,0.2446879150066401,0.12994156067377105,0.2335281310874298,0.24613269164661394,0.10420914651907952,0.2524031459364987,0.23827556073405184,1764,3413,4043,0.07365425879279784,0.2688217184438847,0.2595857822558074,1071,2545,2266,2281,6526,6501,548,2410,1984,757,1400,1474,1134,2038,2148,1431,3466,3272,1579,5763,5565
2013,0.12517767459490192,0.2406898512271392,0.2303610347768407,0.10315218619365044,0.24724136632395585,0.25884080894814143,0.06320436853723713,0.27663529685140004,0.21935633786452888,0.14616870573084353,0.216677398583387,0.23615582743077915,0.11916243654822335,0.2399746192893401,0.26890862944162436,0.12316360005705321,0.2401939808871773,0.2322065325916417,1978,3234,4017,0.0817595140931954,0.2628357217424314,0.2664895131441587,1321,2540,2431,2739,6565,6873,544,2381,1888,908,1346,1467,939,1891,2119,1727,3368,3256,1723,5539,5616
2014,0.14414252294403454,0.23609861436026633,0.2077559834443045,0.12398219084673699,0.24250932573903974,0.24820504592675785,0.06208733927950886,0.2732537935827638,0.23549171782694311,0.173449169333943,0.1955494589239445,0.24249352232891327,0.12312474658737667,0.24962832815245303,0.2701716448168671,0.14606198660868364,0.2327604058811348,0.21474425346862705,2476,3308,3790,0.10077440391277767,0.2626350112084777,0.2547381292031791,1602,2624,2309,3091,6046,6188,536,2359,2033,1138,1283,1591,911,1847,1999,2116,3372,3111,1978,5155,5000
2015,0.16377478753541078,0.23158640226628896,0.196264164305949,0.13604641726852226,0.23918688631015175,0.23602207254726934,0.0777553204137439,0.2830816787540126,0.2296992034240875,0.19921383647798743,0.19622641509433963,0.21509433962264152,0.11610626044956344,0.2689949842095486,0.27456808471112765,0.16055592322964923,0.2242885506287227,0.20635340833884844,3113,3532,4124,0.1051334486917309,0.26244035446489433,0.2472340202401552,1850,2616,2217,3353,5895,5817,654,2381,1932,1267,1248,1368,625,1448,1478,2426,3389,3118,2005,5005,4715
2016,0.19478244837758113,0.2234513274336283,0.1780051622418879,0.1664526561088125,0.22280876967708185,0.21748228468159986,0.08809279107326384,0.272794009690207,0.2199383350462487,0.22684432889177772,0.18313292167695808,0.19792005199870003,0.12957900492072172,0.2566976489885183,0.2618917441224713,0.1841029023746702,0.21879947229551452,0.1887862796833773,3483,3244,3662,0.13243881227481674,0.24711144241520686,0.2308361287116412,2113,2424,1931,3500,4685,4573,600,1858,1498,1396,1127,1218,474,939,958,2791,3317,2862,2132,3978,3716
2017,0.19498585951234426,0.2079798211419399,0.16678131926928075,0.18137832379670144,0.20998821945472904,0.20153147088522383,0.09251242584575918,0.26086259419592756,0.21099887766554434,0.23707637045135094,0.16835858191472747,0.18194596282992348,0.1502415458937198,0.2543478260869565,0.2567632850241546,0.19908079342041607,0.20555152394775036,0.1748306724721819,4381,3538,4092,0.14720466096442295,0.23763480847898846,0.21253253997768687,2551,2721,2182,4311,4991,4790,577,1627,1316,1518,1078,1165,622,1053,1063,3292,3399,2891,2375,3834,3429
2018,0.2096366698748797,0.21059913378248316,0.15567853705486046,0.19703709587735324,0.20374930494876478,0.17666216538247675,0.11612632755729457,0.2470653996646171,0.19494130799329235,0.26017362995116655,0.16264243081931634,0.15938686923494302,0.16630100921456778,0.2288284335234752,0.2459412022817025,0.21166044776119403,0.202705223880597,0.1642257462686567,5824,3901,4356,0.16120192307692308,0.22177884615384616,0.1930769230769231,3485,3501,2588,4961,5130,4448,831,1768,1395,1918,1199,1175,758,1043,1121,4538,4346,3521,3353,4613,4016
2019,0.21862518393945765,0.19932730712634014,0.1551818372924112,0.20525786042944785,0.19941046779141106,0.17872891104294478,0.11994017946161516,0.24805583250249252,0.1988035892323031,0.2755624330436853,0.15200571360552315,0.15426734912510415,0.1812664373862027,0.21646773214646975,0.24296985636253288,0.21845405203069437,0.19539584503088153,0.1621560920830994,7814,4888,5752,0.17267387531704712,0.22400213589640902,0.19179682285409158,5200,4741,3691,8565,8321,7458,1203,2488,1994,2315,1277,1296,896,1070,1201,5836,5220,4332,5174,6712,5747
