year,china_keyword_share,us_keyword_share,eu_keyword_share,china_scibert_share,us_scibert_share,eu_scibert_share,china_scibert_cl_share,us_scibert_cl_share,eu_scibert_cl_share,china_scibert_cv_share,us_scibert_cv_share,eu_scibert_cv_share,china_scibert_ro_share,us_scibert_ro_share,eu_scibert_ro_share,china_elsevier_share,us_elsevier_share,eu_elsevier_share,china_subject_count,us_subject_count,eu_subject_count,china_scibert_not_cv_share,us_scibert_not_cv_share,eu_scibert_not_cv_share,china_keyword_count,us_keyword_count,eu_keyword_count,china_scibert_count,us_scibert_count,eu_scibert_count,china_scibert_cl_count,us_scibert_cl_count,eu_scibert_cl_count,china_scibert_cv_count,us_scibert_cv_count,eu_scibert_cv_count,china_scibert_ro_count,us_scibert_ro_count,eu_scibert_ro_count,china_elsevier_count,us_elsevier_count,eu_elsevier_count,china_scibert_not_cv_count,us_scibert_not_cv_count,eu_scibert_not_cv_count
2010,0.16592430213847625,0.17152118653949303,0.20983652433478697,0.19985063344171516,0.14843757115403883,0.18792863192983414,0.24322915198827608,0.08261702787250233,0.08247611532283065,0.20362438220757825,0.153665568369028,0.20852553542009886,0.3399074163371588,0.05876490822001479,0.06368341530845148,0.1514235407461546,0.16921364738713,0.21173715158964818,10545,11188,17624,0.25122179841652564,0.09446609325166394,0.11382621870339038,7115,7355,8998,21943,16298,20634,17261,5863,5853,4944,3731,5063,21147,3656,3962,9116,10187,12747,42614,16024,19308
2011,0.14429143206024014,0.17610745539651312,0.2044637405874771,0.24925034279677208,0.09444107267291568,0.11495493065389889,0.2517451621454449,0.07416150165995532,0.07624433532359662,0.17259765393577944,0.15766815435048778,0.2098424108377108,0.35362948134154765,0.057533165099460055,0.053754951855976764,0.13291353292641683,0.16955212342776158,0.21024914241540915,9345,11623,17442,0.24659399793792833,0.09270500796709508,0.10860611674413219,6381,7788,9042,55442,21007,25570,19943,5875,6040,4370,3992,5313,25084,4081,3813,8253,10528,13055,44725,16814,19698
2012,0.1402696846666807,0.1658918316258914,0.20049645539264152,0.17568228586850185,0.14702459265256554,0.18844246533751643,0.22934703609726242,0.07748606984839405,0.08432045086513573,0.1697024673439768,0.14796806966618287,0.20362844702467345,0.34698688260905736,0.06149643639590671,0.06127457777531268,0.13047362364484283,0.16301253709648114,0.2075131730361577,9854,11744,18251,0.22757564989202636,0.09627422573326408,0.11435366153677938,6668,7886,9531,20831,17433,22344,17987,6077,6613,4677,4078,5612,25024,4435,4419,8617,10766,13705,41627,17610,20917
2013,0.1395486572041254,0.15991013989584396,0.20741345859287247,0.1652971574097731,0.14498940931156404,0.1973494432677013,0.2112060530950362,0.08236905616072011,0.09365338203639684,0.17233447751158923,0.13836299939842175,0.20619979475565306,0.3442385430098958,0.06522841536388531,0.06915487039800634,0.13220529175525633,0.16012579730687457,0.2133681785967399,9297,11272,18965,0.21097185757610784,0.09978368917290005,0.12407324846023018,6833,7830,10156,20056,17592,23945,16190,6314,7179,4870,3910,5827,23759,4502,4773,8954,10845,14451,38330,18129,22542
2014,0.1497337718267951,0.16059823036567222,0.20192232401534727,0.16442991606025265,0.14923534339734218,0.2014553936626312,0.192438210119939,0.08835368953247145,0.11124239218541773,0.20266049417145407,0.12147916782865749,0.18757320542138434,0.3449092212533969,0.0782581150697721,0.08476017405511746,0.14570869765301428,0.16020478601012425,0.20912908421537046,10788,11646,19247,0.14664382734350123,0.1618846833789022,0.20818921500807064,7649,8204,10315,20020,18170,24528,14007,6431,8097,7267,4356,6726,20688,4694,5084,10132,11140,14542,13355,14743,18960
2015,0.1554317022482524,0.16761760816172303,0.201757037596826,0.15390066782834894,0.1567687446327778,0.20980315321699836,0.15898576246903262,0.10167746171984599,0.13810703519087844,0.19379286694101508,0.13501371742112483,0.20353223593964334,0.2854722023072411,0.09665645571270286,0.1121684155641009,0.14962515321684103,0.16527465009549328,0.2119380861434965,14207,13694,23075,0.1318578059549417,0.17264802445375296,0.21895165855315296,8227,8872,10679,18459,18803,25164,10653,6813,9254,5651,3937,5935,13140,4449,5163,10498,11596,14870,11647,15250,19340
2016,0.17115649214280543,0.16985299442392643,0.1882830038380766,0.16449628366977875,0.15802407178271366,0.2044197938929316,0.09436526350679483,0.10752403049386808,0.14784554192906862,0.22085672917328814,0.13394780520535368,0.1933114383585832,0.2106412547151082,0.1688008735358348,0.2152074647607703,0.16682532127558306,0.16822521488366884,0.19919086149452642,15652,13246,21072,0.13747601336144608,0.1749188600127929,0.2152045675297908,9454,9382,10400,19011,18263,23625,5694,6488,8921,6254,3793,5474,4244,3401,4336,11917,12017,14229,11606,14767,18168
2017,0.18091926729986432,0.1733717774762551,0.18185210312075983,0.18090800273597812,0.15805403556771547,0.19808481532147743,0.11761175571963772,0.11673880624158876,0.1666787909649729,0.23282824673004074,0.1332999785576442,0.1849045815166893,0.2365876405045894,0.170765228488686,0.21150542384528542,0.17951659156083571,0.17120032773453503,0.19247576130001365,22616,15976,25950,0.1541807636539391,0.17547065272489362,0.20959813271404826,10667,10222,10722,21159,18486,23168,6467,6419,9165,6515,3730,5174,4820,3479,4309,13146,12537,14095,13079,14885,17780
2018,0.19504783609904328,0.16740260665194787,0.16309379673812407,0.19047906776003454,0.1623823910228744,0.18517047906776005,0.11768167632634864,0.12328131966116808,0.16172982612572448,0.2607618199031019,0.12457537450576377,0.15612296040541293,0.2581133946773927,0.13741803956140833,0.16397597663783128,0.19161897178121734,0.16550042303289703,0.17313492260986413,21709,14515,21230,0.15408462800971817,0.14310169361907396,0.15798483449123776,16432,14103,13740,22067,18812,21452,6599,6913,9069,9365,4474,5607,9369,4988,5952,19251,16627,17394,26193,24326,26856
2019,0.20279492306354863,0.14490785012605406,0.13537772754933497,0.19584240373003373,0.1418772887688622,0.14819302064728435,0.11920578412302271,0.13959334972657542,0.16137556428230632,0.2710123972474362,0.10489463678474845,0.1261680991779795,0.2539186686202416,0.15442457081248445,0.17385895557459985,0.20027939816125806,0.14347473145683487,0.14380510090426837,46460,23324,31951,0.16424839164396773,0.1575288020264756,0.15805873811618318,37324,26670,24916,50110,36302,37918,6496,7607,8794,20243,7835,9424,9185,5586,6289,42436,30400,30470,30994,29726,29826
